,Household,Homestead,Cropland,Aquaculture land,Other
626,1_522_40,8.0,66.0,0,0
627,1_522_42,10.0,8.0,0,5.0
629,1_522_44,172.0,99.0,0,0
631,1_522_48,30.0,30.0,0,0
632,1_522_49,45.0,45.0,0,0
634,1_522_50,7.0,17.0,0,0
635,1_522_51,14.0,42.0,0,0
637,1_522_53,20.0,66.0,0,0
638,1_522_54,15.0,69.0,0,0
643,1_522_6,33.0,200.0,0,15.0
644,1_522_60,198.0,660.0,0,0
645,1_522_61,66.0,139.0,0,0
646,1_522_62,22.0,21.0,0,8.0
647,1_522_63,23.0,29.0,0,0
648,1_522_64,66.0,50.0,0,0
649,1_522_65,66.0,99.0,0,0
650,1_522_66,45.0,32.0,0,0
652,1_522_69,66.0,27.0,0,0
654,1_522_70,100.0,41.0,0,0
656,1_522_74,40.0,198.0,0,0
657,1_522_75,36.0,24.0,0,0
660,1_522_78,40.0,232.0,0,0
663,1_522_82,17.0,33.0,0,0
667,1_522_87,50.0,66.0,0,0
668,1_522_89,33.0,330.0,0,0
669,1_522_90,12.0,266.0,0,0
670,1_522_91,33.0,15.0,0,0
672,1_522_93,99.0,99.0,0,0
674,1_522_96,66.0,100.0,0,0
676,1_522_98,4.0,225.0,0,0
677,1_522_99,33.0,99.0,0,0
679,1_537_12,31.0,236.0,143.0,0
681,1_537_153,6.0,166.0,99.0,0
682,1_537_173,16.0,80.0,0,0
684,1_537_213,6.0,10.0,0,0
685,1_537_234,7.0,297.0,0,0
686,1_537_254,4.0,8.0,0,0
687,1_537_274,11.0,130.0,3.0,0
688,1_537_294,33.0,132.0,0,0
689,1_537_314,20.0,33.0,0,0
692,1_537_355,6.0,5.0,0,0
695,1_537_415,64.0,132.0,0,0
696,1_537_437,3.0,66.0,0,0
698,1_537_476,50.0,66.0,10.0,33.0
699,1_537_496,8.0,66.0,132.0,0
703,1_537_556,7.0,33.0,0,0
706,1_537_617,100.0,250.0,0,0
708,1_537_92,11.0,6.0,0,0
709,1_617_1,4.0,42.0,0,0
710,1_617_100,6.0,6.0,0,2.0
711,1_617_101,3.0,17.0,0,5.0
712,1_617_102,3.0,19.0,0,0
