,hh_id,migrations,num_shocked,tick,wealth
0,4,1,1,1,562.4835506569509
0,5,0,1,1,555.2627620122693
0,6,0,0,1,2636.015083012441
0,7,0,1,1,986.5566212384967
0,8,0,1,1,162.49473465935785
0,9,0,1,1,6101.372978085033
0,10,0,0,1,1741.105117169125
0,11,1,1,1,2748.130218472125
0,12,0,1,1,7764.064218342127
0,13,1,1,1,6306.91893678836
0,14,0,1,1,5200.000127795647
0,15,0,0,1,5768.3603308734355
0,16,0,1,1,3600.0004071099866
0,17,0,2,1,3.251154838270237e-05
0,18,0,2,1,4.5614018796784625e-05
0,19,0,1,1,606.2224772097335
0,20,0,0,1,15816.202123911997
0,21,0,1,1,10400.001131542553
0,22,0,1,1,2631.2326146560563
0,23,0,1,1,8400.000007680319
0,24,0,1,1,8800.000572230361
0,25,0,1,1,2690.7192927444157
0,26,0,0,1,7000.000445886448
0,27,0,2,1,119.28300525804674
0,28,0,2,1,1.3747085168511513e-05
0,29,0,1,1,6403.069277558139
0,30,0,1,1,195.23482043515708
0,31,0,1,1,2001.055895071572
0,32,1,1,1,389.2413858431952
0,33,0,1,1,2359.3539533287903
0,34,0,0,1,800.0010278234221
0,35,0,1,1,4000.000005459838
0,36,0,1,1,767.4301778576951
0,37,0,0,1,1200.0000633388208
0,38,1,1,1,1783.4356655940755
0,39,0,1,1,6856.067678089876
0,40,0,1,1,1200.0000536086109
0,41,0,0,1,6968.857293427177
0,42,0,1,1,2759.7742501292746
0,43,0,1,1,754.2531583533193
0,44,0,1,1,3407.316895169607
0,45,0,1,1,500.296384085626
0,46,0,2,1,9.278293582684231
0,47,0,1,1,3386.156221324686
0,48,0,0,1,6769.85805442999
0,49,1,1,1,4872.702942959708
0,50,0,2,1,0.0002541592062211541
0,51,0,0,1,9175.84332796445
0,52,1,0,1,2600.000579431972
0,53,0,0,1,9181.430256730064
0,54,1,1,1,2252.130417644083
0,55,0,0,1,23202.83551978972
0,56,0,0,1,756.7146596520668
0,57,0,1,1,1783.6842562614968
0,58,0,2,1,9.843926001750168e-05
0,59,0,0,1,11706.602036755154
0,60,0,0,1,19230.791772343364
0,61,0,1,1,7462.686477527554
0,62,0,0,1,12271.313137861202
0,63,0,1,1,300.16785755328675
0,64,0,1,1,3824.6481009126705
0,65,0,0,1,3191.836574578698
0,66,0,1,1,869.3439194402861
0,67,1,1,1,444.92883216953703
0,68,0,0,1,3588.0703329452454
0,69,0,0,1,0.0
0,70,0,1,1,379.94109185416625
0,71,0,2,1,2.4896456868843064e-06
0,72,0,2,1,1.352330176145681e-05
0,73,0,0,1,10733.774131498954
0,74,0,0,1,21633.24664166284
0,75,1,1,1,1439.4846366342724
0,76,1,1,1,4692.582287481794
0,77,1,1,1,0.0
0,78,1,1,1,2191.080872028572
0,79,0,1,1,808.4061578678472
0,80,0,0,1,6771.768932161494
0,81,1,1,1,203.02916835049854
0,82,0,0,1,12079.131773796513
0,83,0,1,1,229.21790905442845
0,84,0,1,1,1500.000218396127
0,85,0,1,1,602.557399035295
